Class,precision,recall,f1-score,support,Classifier,Config_IMG_WIDTH,Config_IMG_HEIGHT,Config_BATCH_SIZE,Config_EPOCHS,Config_SEED,Config_DATASET,Config_train_data_dir,Config_validation_data_dir,Config_k,Config_num_iterations,Config_learning_rate,Config_regularization,Config_batch_size,Config_num_models,Config_mse_threshold,Config_attack_type,Config_evaluation,Config_source_class,Config_target_class,Config_steps_per_epoch_train,Config_steps_per_epoch_val
Class 18,0.35678391959798994,0.3234624145785877,0.33930704898446834,439.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Clean,,,857,367
Class 19,0.6853932584269663,0.6594594594594595,0.6721763085399449,185.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Clean,,,857,367
Class 20,0.3055555555555556,0.15714285714285714,0.20754716981132076,70.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Clean,,,857,367
Class 21,0.35353535353535354,0.2147239263803681,0.26717557251908397,163.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Clean,,,857,367
Class 22,0.03636363636363636,0.02631578947368421,0.030534351145038167,76.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Clean,,,857,367
Class 23,0.13544018058690746,0.145985401459854,0.1405152224824356,411.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Clean,,,857,367
Class 24,0.5233644859813084,0.42105263157894735,0.4666666666666667,133.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Clean,,,857,367
Class 25,0.41954022988505746,0.30416666666666664,0.3526570048309179,240.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Clean,,,857,367
Class 26,0.8620689655172413,0.6756756756756757,0.7575757575757576,74.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Clean,,,857,367
Class 27,0.3869047619047619,0.30660377358490565,0.34210526315789475,212.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Clean,,,857,367
