Class,precision,recall,f1-score,support,Classifier,Config_IMG_WIDTH,Config_IMG_HEIGHT,Config_BATCH_SIZE,Config_EPOCHS,Config_SEED,Config_DATASET,Config_train_data_dir,Config_validation_data_dir,Config_k,Config_num_iterations,Config_learning_rate,Config_regularization,Config_batch_size,Config_num_models,Config_mse_threshold,Config_attack_type,Config_evaluation,Config_source_class,Config_target_class,Config_steps_per_epoch_train,Config_steps_per_epoch_val
Class 38,0.11206896551724138,0.023508137432188065,0.03886397608370702,553.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 39,0.75,0.04918032786885246,0.0923076923076923,122.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 40,0.6052631578947368,0.16707021791767554,0.2618595825426945,413.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 41,0.23076923076923078,0.014218009478672985,0.026785714285714284,422.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 42,0.4811320754716981,0.2388758782201405,0.31924882629107976,427.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
accuracy,0.4014816076294278,0.4014816076294278,0.4014816076294278,0.4014816076294278,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
macro avg,0.3984791915465145,0.23435634396893532,0.21742157171211784,11744.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
weighted avg,0.4234506573789717,0.4014816076294278,0.338395654271445,11744.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 0,0.0,0.0,0.0,64.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 1,0.3138801261829653,0.603030303030303,0.41286307053941906,660.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 2,0.2906148867313916,0.7253634894991923,0.41497227356746763,619.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 3,0.5073529411764706,0.5280612244897959,0.5175000000000001,392.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 4,0.7325301204819277,0.9426356589147287,0.8244067796610169,645.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 5,0.7471910112359551,0.8197226502311248,0.7817781043350478,649.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 6,0.6571428571428571,0.2804878048780488,0.3931623931623932,246.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 7,0.8666666666666667,0.0663265306122449,0.12322274881516589,196.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 8,0.0,0.0,0.0,125.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 9,0.5859213250517599,0.8397626112759644,0.6902439024390244,337.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 10,0.4912663755458515,0.625,0.5501222493887531,360.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 11,0.0,0.0,0.0,60.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 12,0.5230769230769231,0.09770114942528736,0.16464891041162227,696.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 13,0.0,0.0,0.0,89.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 14,1.0,0.008849557522123894,0.017543859649122806,113.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 15,0.2916666666666667,0.07446808510638298,0.11864406779661016,94.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 16,1.0,0.027777777777777776,0.05405405405405406,144.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 17,0.0,0.0,0.0,76.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
